[2024-03-23 00:08:00] [world] The Player <Marshtomp12345> has extracted 39 of GLASS from a Furnace that's located at X= -1151, Y= 66, Z= -434
[2024-03-23 00:08:05] [world] The Player <Marshtomp12345> has extracted 1 of GLASS from a Furnace that's located at X= -1151, Y= 66, Z= -434
[2024-03-23 00:08:09] [world] The Player <Marshtomp12345> has extracted 40 of GLASS from a Furnace that's located at X= -1154, Y= 66, Z= -434
[2024-03-23 00:25:35] [world_nether] The Player <Heinrich_Himmler> has extracted 3 of IRON_INGOT from a Furnace that's located at X= 12501, Y= 128, Z= 3
[2024-03-23 01:35:20] [world] The Player <NezukoChan> has extracted 21 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 04:16:55] [world] The Player <digbick> has extracted 12 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 04:18:17] [world] The Player <digbick> has extracted 8 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 04:19:17] [world] The Player <digbick> has extracted 6 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 04:20:02] [world] The Player <digbick> has extracted 4 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 04:22:37] [world] The Player <digbick> has extracted 16 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 04:26:18] [world] The Player <digbick> has extracted 22 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 04:31:23] [world] The Player <digbick> has extracted 8 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 04:38:19] [world] The Player <digbick> has extracted 25 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 04:40:14] [world] The Player <digbick> has extracted 11 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 04:44:03] [world] The Player <digbick> has extracted 23 of STONE from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-23 11:22:50] [world] The Player <NezukoChan> has extracted 64 of GLASS from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:22:53] [world] The Player <NezukoChan> has extracted 64 of GLASS from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-23 11:39:06] [world] The Player <NezukoChan> has extracted 64 of GLASS from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:45:28] [world] The Player <NezukoChan> has extracted 6 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:45:47] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:45:51] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:46:12] [world] The Player <NezukoChan> has extracted 2 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:46:27] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:46:28] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:46:46] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:46:48] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:46:58] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:47:08] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:48:20] [world] The Player <NezukoChan> has extracted 7 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:52:25] [world] The Player <NezukoChan> has extracted 9 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:53:22] [world] The Player <NezukoChan> has extracted 2 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:54:03] [world] The Player <NezukoChan> has extracted 4 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:54:18] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:54:20] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:54:31] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 11:54:40] [world] The Player <NezukoChan> has extracted 1 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 15:19:05] [world] The Player <character> has extracted 27 of GLASS from a Furnace that's located at X= -377, Y= 88, Z= -62
[2024-03-23 17:11:51] [world] The Player <Tester> has extracted 3 of STONE from a Furnace that's located at X= -558, Y= 89, Z= 268
[2024-03-23 19:05:51] [world] The Player <Tester> has extracted 6 of STONE from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 19:06:59] [world] The Player <Tester> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 19:07:01] [world] The Player <Tester> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-23 19:07:20] [world] The Player <Tester> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 19:07:21] [world] The Player <Tester> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-23 19:07:37] [world] The Player <Tester> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 19:07:38] [world] The Player <Tester> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-23 19:07:42] [world] The Player <Tester> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-23 19:07:46] [world] The Player <Tester> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 19:07:49] [world] The Player <Tester> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-23 19:08:05] [world] The Player <Tester> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-23 19:08:06] [world] The Player <Tester> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
