[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 90, Y= 61, Z= -75
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 75, Y= 79, Z= -71
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 104, Y= 63, Z= -75
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 67, Y= 37, Z= -86
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 93, Y= 65, Z= -86
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 100, Y= 65, Z= -87
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 59, Y= 25, Z= -80
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 81, Y= 69, Z= -85
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 101, Y= 69, Z= -80
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 74, Y= 41, Z= -90
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 96, Y= 60, Z= -86
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 106, Y= 29, Z= -76
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 87, Y= 67, Z= -85
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 67, Y= 72, Z= -72
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 100, Y= 61, Z= -79
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 88, Y= 60, Z= -84
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 107, Y= 75, Z= -87
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 109, Y= 51, Z= -83
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 89, Y= 74, Z= -86
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 83, Y= 52, Z= -79
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 72, Y= 29, Z= -117
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 75, Y= 45, Z= -113
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 98, Y= 63, Z= -95
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 57, Y= 57, Z= -67
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 41, Y= 55, Z= -81
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 90, Y= 40, Z= -105
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 84, Y= 59, Z= -105
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 79, Y= 55, Z= -77
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 93, Y= 24, Z= -72
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 102, Y= 49, Z= -81
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 86, Y= 81, Z= -82
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 72, Y= 49, Z= -116
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 72, Y= 61, Z= -83
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 81, Y= 59, Z= -83
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 103, Y= 72, Z= -99
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 77, Y= 47, Z= -89
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 77, Y= 77, Z= -69
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 64, Y= 15, Z= -132
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 81, Y= 40, Z= -113
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 76, Y= 49, Z= -114
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 79, Y= 46, Z= -89
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 80, Y= 53, Z= -79
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 79, Y= 56, Z= -76
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 68, Y= 71, Z= -81
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 63, Y= 30, Z= -125
