[2024-03-29 00:33:36] [world] The Player <BTC> has crafted 1 of WORKBENCH at X= -3050, Y= 30, Z= 517
[2024-03-29 00:33:59] [world] The Player <BTC> has crafted 1 of CHEST at X= -3049, Y= 30, Z= 518
[2024-03-29 01:00:38] [world] The Player <BTC> has crafted 4 of WOOD at X= -3553, Y= 6, Z= 238
[2024-03-29 01:00:45] [world] The Player <BTC> has crafted 1 of WORKBENCH at X= -3553, Y= 6, Z= 238
[2024-03-29 01:00:55] [world] The Player <BTC> has crafted 1 of DIAMOND PICKAXE at X= -3553, Y= 7, Z= 238
[2024-03-29 01:17:30] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:31] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:31] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:31] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:32] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:32] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:32] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:32] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:33] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:33] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:33] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:36] [world] The Player <BTC> has crafted 4 of WOOD at X= -3570, Y= 9, Z= 152
[2024-03-29 01:17:44] [world] The Player <BTC> has crafted 1 of WORKBENCH at X= -3569, Y= 9, Z= 152
[2024-03-29 01:17:58] [world] The Player <BTC> has crafted 4 of TORCH at X= -3570, Y= 9, Z= 152
[2024-03-29 01:20:00] [world] The Player <BTC> has crafted 3 of PAPER at X= -3571, Y= 9, Z= 151
[2024-03-29 01:20:05] [world] The Player <BTC> has crafted 1 of BOOK at X= -3571, Y= 9, Z= 151
[2024-03-29 01:20:25] [world] The Player <BTC> has crafted 1 of ENCHANTMENT TABLE at X= -3571, Y= 9, Z= 151
[2024-03-29 01:21:45] [world] The Player <BTC> has crafted 1 of DIAMOND CHESTPLATE at X= -3571, Y= 9, Z= 151
[2024-03-29 01:21:48] [world] The Player <BTC> has crafted 1 of DIAMOND HELMET at X= -3571, Y= 9, Z= 151
[2024-03-29 01:21:54] [world] The Player <BTC> has crafted 1 of DIAMOND BOOTS at X= -3571, Y= 9, Z= 151
[2024-03-29 01:22:02] [world] The Player <BTC> has crafted 1 of DIAMOND LEGGINGS at X= -3571, Y= 9, Z= 151
[2024-03-29 01:23:24] [world] The Player <BTC> has crafted 1 of CHEST at X= -3571, Y= 9, Z= 152
