[2024-03-20 22:26:22] [world] The Player <astronomy> has crafted 4 of SMOOTH BRICK at X= 1802, Y= 38, Z= 289
[2024-03-20 22:26:22] [world] The Player <astronomy> has crafted 4 of SMOOTH BRICK at X= 1802, Y= 38, Z= 289
[2024-03-20 22:26:22] [world] The Player <astronomy> has crafted 4 of SMOOTH BRICK at X= 1802, Y= 38, Z= 289
[2024-03-20 22:30:16] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1796, Y= 38, Z= 288
[2024-03-20 22:30:16] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1796, Y= 38, Z= 288
[2024-03-20 22:30:16] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1796, Y= 38, Z= 288
[2024-03-20 22:30:16] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1796, Y= 38, Z= 288
[2024-03-20 22:30:17] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1796, Y= 38, Z= 288
[2024-03-20 22:31:57] [world] The Player <hexa> has crafted 1 of WORKBENCH at X= 1000034, Y= 73, Z= 999834
[2024-03-20 22:32:08] [world] The Player <A_Random_Person> has crafted 4 of STICK at X= -542, Y= 91, Z= 259
[2024-03-20 22:33:27] [world] The Player <A_Random_Person> has crafted 1 of IRON PICKAXE at X= -552, Y= 88, Z= 245
[2024-03-20 22:45:07] [world] The Player <Tester> has crafted 4 of WOOD at X= 1000026, Y= 63, Z= 1000120
[2024-03-20 22:45:12] [world] The Player <Tester> has crafted 1 of WORKBENCH at X= 1000026, Y= 63, Z= 1000120
[2024-03-20 22:45:20] [world] The Player <Tester> has crafted 1 of BOAT at X= 1000026, Y= 63, Z= 1000120
[2024-03-20 22:46:10] [world] The Player <hexa> has crafted 4 of STICK at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:46:10] [world] The Player <hexa> has crafted 4 of STICK at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:46:28] [world] The Player <hexa> has crafted 1 of ITEM FRAME at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:38] [world] The Player <hexa> has crafted 4 of WOOD at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:39] [world] The Player <hexa> has crafted 4 of WOOD at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:39] [world] The Player <hexa> has crafted 4 of WOOD at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:39] [world] The Player <hexa> has crafted 4 of WOOD at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:44] [world] The Player <hexa> has crafted 4 of STICK at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:44] [world] The Player <hexa> has crafted 4 of STICK at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:44] [world] The Player <hexa> has crafted 4 of STICK at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:47] [world] The Player <hexa> has crafted 4 of STICK at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:47] [world] The Player <hexa> has crafted 4 of STICK at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:48:47] [world] The Player <hexa> has crafted 4 of STICK at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:49:02] [world] The Player <hexa> has crafted 4 of COBBLESTONE STAIRS at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:49:02] [world] The Player <hexa> has crafted 4 of COBBLESTONE STAIRS at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:51:23] [world] The Player <hexa> has crafted 4 of WOOD at X= 999996, Y= 60, Z= 1000000
[2024-03-20 22:51:23] [world] The Player <hexa> has crafted 4 of WOOD at X= 999996, Y= 60, Z= 1000000
[2024-03-20 22:51:23] [world] The Player <hexa> has crafted 4 of WOOD at X= 999996, Y= 60, Z= 1000000
[2024-03-20 22:51:23] [world] The Player <hexa> has crafted 4 of WOOD at X= 999996, Y= 60, Z= 1000000
