[2024-03-18 11:22:09] [world] The Player <BigDickRandy> has picked 1 of COBBLESTONE at X= -813, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:22:27] [world] The Player <BigDickRandy> has picked 5 of GOLD_ORE at X= -816, Y= 11, Z= 348 that had [] enchantment(s) |  
[2024-03-18 11:22:32] [world] The Player <BigDickRandy> has picked 1 of GOLD_ORE at X= -817, Y= 12, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:22:37] [world] The Player <BigDickRandy> has picked 1 of COBBLESTONE at X= -813, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:22:38] [world] The Player <BigDickRandy> has picked 1 of COBBLESTONE at X= -813, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:23:00] [world_nether] The Player <qwerty> has picked 1 of BLAZE_ROD at X= -135, Y= 70, Z= -84 that had [] enchantment(s) |  
[2024-03-18 11:23:05] [world_nether] The Player <Mudkips_Rule> has picked 4 of BLAZE_ROD at X= -145, Y= 70, Z= -94 that had [] enchantment(s) |  
[2024-03-18 11:23:12] [world] The Player <sharky> has picked 27 of SANDSTONE at X= -524, Y= 70, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:23:27] [world] The Player <sharky> has picked 9 of SANDSTONE at X= -525, Y= 70, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:23:29] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -145, Y= 70, Z= -92 that had [] enchantment(s) |  
[2024-03-18 11:23:31] [world_nether] The Player <qwerty> has picked 1 of BLAZE_ROD at X= -149, Y= 71, Z= -93 that had [] enchantment(s) |  
[2024-03-18 11:23:34] [world] The Player <sharky> has picked 4 of SANDSTONE at X= -525, Y= 70, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:24:03] [world_nether] The Player <qwerty> has picked 2 of DIAMOND at X= -146, Y= 70, Z= -93 that had [] enchantment(s) |  
[2024-03-18 11:24:20] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -532, Y= 73, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:24:21] [world] The Player <sharky> has picked 60 of SANDSTONE at X= -532, Y= 72, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:24:29] [world] The Player <sharky> has picked 10 of SANDSTONE at X= -533, Y= 72, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:24:33] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -533, Y= 72, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:24:40] [world] The Player <sharky> has picked 6 of SANDSTONE at X= -533, Y= 73, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:24:43] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -146, Y= 67, Z= -97 that had [] enchantment(s) |  
[2024-03-18 11:24:43] [world] The Player <sharky> has picked 3 of SANDSTONE at X= -534, Y= 73, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:24:47] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -534, Y= 73, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:24:47] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -533, Y= 74, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:24:49] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -534, Y= 73, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:24:52] [world] The Player <sharky> has picked 5 of SANDSTONE at X= -534, Y= 75, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:24:53] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -534, Y= 75, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:25:02] [world_nether] The Player <Mudkips_Rule> has picked 2 of BLAZE_ROD at X= -148, Y= 70, Z= -97 that had [] enchantment(s) |  
[2024-03-18 11:25:03] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -535, Y= 74, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:25:09] [world] The Player <sharky> has picked 7 of SANDSTONE at X= -535, Y= 76, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:25:13] [world] The Player <sharky> has picked 5 of SANDSTONE at X= -536, Y= 75, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:25:16] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -536, Y= 76, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:25:17] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -536, Y= 75, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:25:18] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -536, Y= 75, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:25:29] [world] The Player <sharky> has picked 8 of SANDSTONE at X= -536, Y= 75, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:25:33] [world] The Player <BigDickRandy> has picked 3 of BOOK at X= -897, Y= 74, Z= 276 that had [] enchantment(s) |  
[2024-03-18 11:25:53] [world] The Player <sharky> has picked 6 of SANDSTONE at X= -538, Y= 77, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:25:56] [world] The Player <sharky> has picked 3 of SANDSTONE at X= -537, Y= 77, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:26:01] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -537, Y= 77, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:26:06] [world] The Player <sharky> has picked 3 of SANDSTONE at X= -538, Y= 77, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:26:09] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -538, Y= 77, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:26:10] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -538, Y= 77, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:26:16] [world] The Player <sharky> has picked 9 of SANDSTONE at X= -538, Y= 77, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:27:04] [world] The Player <BigDickRandy> has picked 5 of COBBLESTONE at X= -181, Y= 88, Z= 4287 that had [] enchantment(s) |  
[2024-03-18 11:27:07] [world] The Player <BigDickRandy> has picked 2 of COBBLESTONE at X= -182, Y= 86, Z= 4287 that had [] enchantment(s) |  
[2024-03-18 11:27:11] [world] The Player <BigDickRandy> has picked 1 of COBBLESTONE at X= -179, Y= 89, Z= 4288 that had [] enchantment(s) |  
[2024-03-18 11:27:16] [world] The Player <BigDickRandy> has picked 1 of COBBLESTONE at X= -180, Y= 90, Z= 4289 that had [] enchantment(s) |  
[2024-03-18 11:27:17] [world] The Player <BigDickRandy> has picked 4 of DIRT at X= -180, Y= 86, Z= 4288 that had [] enchantment(s) |  
[2024-03-18 11:27:34] [world] The Player <BigDickRandy> has picked 2 of DIRT at X= -178, Y= 88, Z= 4288 that had [] enchantment(s) |  
[2024-03-18 11:28:00] [world] The Player <VeerIsKKK> has picked 3 of SUGAR_CANE at X= 501, Y= 63, Z= 2259 that had [] enchantment(s) |  
[2024-03-18 11:28:02] [world] The Player <VeerIsKKK> has picked 3 of SUGAR_CANE at X= 499, Y= 63, Z= 2257 that had [] enchantment(s) |  
[2024-03-18 11:28:16] [world] The Player <sharky> has picked 3 of SANDSTONE at X= -539, Y= 79, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:28:18] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -539, Y= 78, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:28:19] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -539, Y= 78, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:28:25] [world] The Player <sharky> has picked 7 of SANDSTONE at X= -540, Y= 79, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:29:02] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -540, Y= 79, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:29:13] [world] The Player <sharky> has picked 10 of SANDSTONE at X= -540, Y= 80, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:29:18] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -541, Y= 80, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:29:19] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -541, Y= 81, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:29:37] [world] The Player <sharky> has picked 11 of SANDSTONE at X= -542, Y= 81, Z= -466 that had [] enchantment(s) |  
