[2024-03-24 22:53:19] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10252, Y= 62, Z= 4098
[2024-03-24 22:53:20] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10252, Y= 61, Z= 4098
[2024-03-24 22:53:22] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10253, Y= 62, Z= 4098
[2024-03-24 22:53:25] [world] The Player <GolemDaWanderer> has broke LOG at X= -10252, Y= 63, Z= 4098
[2024-03-24 22:53:26] [world] The Player <GolemDaWanderer> has broke LOG at X= -10253, Y= 63, Z= 4098
[2024-03-24 22:53:27] [world] The Player <GolemDaWanderer> has broke LOG at X= -10254, Y= 63, Z= 4098
[2024-03-24 22:53:51] [world] The Player <GolemDaWanderer> has broke STONE_PLATE at X= -10250, Y= 64, Z= 4096
[2024-03-24 22:53:51] [world] The Player <GolemDaWanderer> has broke STONE_PLATE at X= -10250, Y= 64, Z= 4095
[2024-03-24 22:53:52] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10250, Y= 63, Z= 4095
[2024-03-24 22:54:05] [world] The Player <GolemDaWanderer> has broke STONE_PLATE at X= -10247, Y= 64, Z= 4095
[2024-03-24 22:54:09] [world] The Player <GolemDaWanderer> has broke STONE_PLATE at X= -10247, Y= 64, Z= 4096
[2024-03-24 22:54:59] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10165, Y= 62, Z= 4094
[2024-03-24 22:54:59] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10164, Y= 62, Z= 4094
[2024-03-24 22:55:02] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10163, Y= 62, Z= 4094
[2024-03-24 22:55:03] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10162, Y= 62, Z= 4094
[2024-03-24 22:55:04] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10161, Y= 62, Z= 4094
[2024-03-24 22:55:05] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10161, Y= 62, Z= 4093
[2024-03-24 22:55:05] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10161, Y= 62, Z= 4092
[2024-03-24 22:55:06] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10161, Y= 62, Z= 4091
[2024-03-24 22:55:07] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10162, Y= 62, Z= 4090
[2024-03-24 22:55:08] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10161, Y= 62, Z= 4090
[2024-03-24 22:55:10] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10165, Y= 62, Z= 4091
[2024-03-24 22:55:10] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10165, Y= 62, Z= 4092
[2024-03-24 22:55:11] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10165, Y= 62, Z= 4093
[2024-03-24 22:55:12] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10165, Y= 62, Z= 4090
[2024-03-24 22:55:14] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10164, Y= 62, Z= 4090
[2024-03-24 22:55:14] [world] The Player <GolemDaWanderer> has broke LEAVES at X= -10163, Y= 62, Z= 4090
[2024-03-24 22:55:39] [world_the_end] The Player <GolemDaWanderer> has broke POWERED_RAIL at X= 40, Y= 46, Z= -1
[2024-03-24 22:55:39] [world_the_end] The Player <GolemDaWanderer> has broke POWERED_RAIL at X= 41, Y= 46, Z= -1
[2024-03-24 22:55:43] [world_the_end] The Player <GolemDaWanderer> has broke POWERED_RAIL at X= 37, Y= 46, Z= -1
[2024-03-24 22:55:43] [world_the_end] The Player <GolemDaWanderer> has broke POWERED_RAIL at X= 38, Y= 46, Z= -1
[2024-03-24 22:55:44] [world_the_end] The Player <GolemDaWanderer> has broke POWERED_RAIL at X= 39, Y= 46, Z= -1
[2024-03-24 22:56:01] [world_the_end] The Player <GolemDaWanderer> has broke POWERED_RAIL at X= 35, Y= 46, Z= -1
[2024-03-24 23:00:11] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -561, Y= 66, Z= 333
[2024-03-24 23:00:17] [world] The Player <GolemDaWanderer> has broke STONE at X= -556, Y= 55, Z= 319
[2024-03-24 23:00:18] [world] The Player <GolemDaWanderer> has broke STONE at X= -556, Y= 55, Z= 322
[2024-03-24 23:00:18] [world] The Player <GolemDaWanderer> has broke STONE at X= -556, Y= 55, Z= 323
[2024-03-24 23:00:19] [world] The Player <GolemDaWanderer> has broke STONE at X= -556, Y= 54, Z= 323
