[2024-03-21 02:08:20] [world_the_end] The Player <astronomy> has died with 17 level(s) at X= 60, Y= 61, Z= -4 | caused by ENTITY_ATTACK | 
[2024-03-21 02:15:40] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -11, Y= 59, Z= 13 | caused by ENTITY_ATTACK | 
[2024-03-21 02:18:50] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -167, Y= -217, Z= 40 | caused by VOID | 
[2024-03-21 02:31:47] [world] The Player <astronomy> has died with 3 level(s) at X= -1534, Y= 51, Z= -117 | caused by Player | A_Random_Person
[2024-03-21 03:05:26] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -181, Y= -66, Z= 37 | caused by VOID | 
[2024-03-21 03:23:37] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -172, Y= 101, Z= 36 | caused by ENTITY_ATTACK | 
[2024-03-21 03:28:47] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -170, Y= 99, Z= 37 | caused by FALL | 
[2024-03-21 03:32:33] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -165, Y= 60, Z= 41 | caused by ENTITY_ATTACK | 
[2024-03-21 03:33:58] [world_the_end] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -167, Y= 60, Z= 35 | caused by ENTITY_ATTACK | 
[2024-03-21 03:38:04] [world] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -870, Y= 69, Z= 288 | caused by FALL | 
[2024-03-21 03:41:09] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -168, Y= 62, Z= 45 | caused by FALL | 
[2024-03-21 03:43:59] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -169, Y= 57, Z= 37 | caused by FALL | 
[2024-03-21 03:45:00] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -168, Y= -192, Z= 45 | caused by VOID | 
[2024-03-21 03:46:29] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -153, Y= -158, Z= 33 | caused by VOID | 
[2024-03-21 03:47:28] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= 67, Y= -66, Z= -19 | caused by VOID | 
[2024-03-21 05:18:59] [world] The Player <GolemDaWanderer> has died with 10 level(s) at X= -593, Y= 64, Z= 238 | caused by ENTITY_ATTACK | 
[2024-03-21 11:20:57] [world] The Player <Dave_TheCoolGuy> has died with 6 level(s) at X= -703, Y= 65, Z= 264 | caused by Player | ACE
[2024-03-21 11:40:34] [world_nether] The Player <qwerty> has died with 6 level(s) at X= -136, Y= 67, Z= -84 | caused by FIRE_TICK | 
[2024-03-21 11:49:57] [world_nether] The Player <hexa> has died with 26 level(s) at X= -91, Y= 33, Z= -159 | caused by FALL | 
[2024-03-21 11:52:30] [world_nether] The Player <hexa> has died with 27 level(s) at X= -144, Y= 26, Z= -179 | caused by FIRE_TICK | 
[2024-03-21 11:53:24] [world_the_end] The Player <somebody139> has died with 5 level(s) at X= 103, Y= 17, Z= 7 | caused by FALL | 
[2024-03-21 11:55:42] [world] The Player <ACE> has died with 1 level(s) at X= -815, Y= 69, Z= 258 | caused by Player | somebody139
[2024-03-21 11:57:47] [world] The Player <somebody139> has died with 5 level(s) at X= -766, Y= 65, Z= 235 | caused by Player | ACE
[2024-03-21 12:04:43] [world_the_end] The Player <somebody139> has died with 5 level(s) at X= 98, Y= 22, Z= 3 | caused by FALL | 
[2024-03-21 12:05:31] [world] The Player <ACE> has died with 2 level(s) at X= -769, Y= 65, Z= 227 | caused by Player | dick_slap
[2024-03-21 12:05:59] [world] The Player <dick_slap> has died with 7 level(s) at X= -773, Y= 64, Z= 225 | caused by Player | ACE
[2024-03-21 12:12:44] [world] The Player <somebody139> has died with 6 level(s) at X= -578, Y= 56, Z= 270 | caused by Player | VeerIsKKK
[2024-03-21 12:12:45] [world] The Player <VeerIsKKK> has died with 26 level(s) at X= -576, Y= 56, Z= 269 | caused by Player | somebody139
[2024-03-21 12:13:00] [world] The Player <VeerIsKKK> has died with 26 level(s) at X= -575, Y= 68, Z= 352 | caused by Player | somebody139
[2024-03-21 12:13:22] [world_the_end] The Player <somebody139> has died with 6 level(s) at X= 98, Y= 22, Z= 4 | caused by FALL | 
[2024-03-21 12:13:24] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 98, Y= -196, Z= 4 | caused by VOID | 
[2024-03-21 12:13:55] [world_the_end] The Player <somebody139> has died with 6 level(s) at X= 94, Y= 54, Z= 3 | caused by Player | VeerIsKKK
[2024-03-21 12:13:56] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 97, Y= 49, Z= 2 | caused by Player | somebody139
[2024-03-21 12:14:15] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 98, Y= 22, Z= 3 | caused by Player | somebody139
[2024-03-21 12:14:39] [world_the_end] The Player <somebody139> has died with 6 level(s) at X= 109, Y= -163, Z= 0 | caused by VOID | 
[2024-03-21 12:14:59] [world_the_end] The Player <somebody139> has died with 6 level(s) at X= 103, Y= -188, Z= 3 | caused by VOID | 
[2024-03-21 12:15:44] [world_nether] The Player <VeerIsKKK> has died with 26 level(s) at X= -104, Y= 49, Z= -29 | caused by FALL | 
[2024-03-21 12:16:03] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 102, Y= -95, Z= 0 | caused by Player | somebody139
[2024-03-21 12:16:16] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 100, Y= 21, Z= -3 | caused by Player | somebody139
[2024-03-21 12:16:28] [world] The Player <character> has died with 18 level(s) at X= -259, Y= 70, Z= -629 | caused by FALL | 
[2024-03-21 12:16:34] [world_the_end] The Player <somebody139> has died with 6 level(s) at X= 104, Y= 21, Z= -3 | caused by FALL | 
[2024-03-21 12:19:25] [world] The Player <dick_slap> has died with 7 level(s) at X= -768, Y= 63, Z= 257 | caused by Player | ACE
[2024-03-21 12:20:11] [world] The Player <dick_slap> has died with 7 level(s) at X= -763, Y= 63, Z= 257 | caused by Player | ACE
[2024-03-21 12:21:03] [world] The Player <dick_slap> has died with 7 level(s) at X= -779, Y= 63, Z= 257 | caused by Player | ACE
[2024-03-21 12:22:32] [world] The Player <VeerIsKKK> has died with 26 level(s) at X= 496, Y= 64, Z= 2253 | caused by FALL | 
[2024-03-21 12:23:28] [world] The Player <dick_slap> has died with 7 level(s) at X= -783, Y= 65, Z= 233 | caused by Player | ACE
[2024-03-21 12:24:36] [world] The Player <ACE> has died with 3 level(s) at X= -769, Y= 47, Z= 261 | caused by FALL | 
[2024-03-21 12:28:00] [world] The Player <ACE> has died with 3 level(s) at X= -773, Y= 65, Z= 260 | caused by Player | somebody139
[2024-03-21 12:28:44] [world] The Player <somebody139> has died with 6 level(s) at X= -784, Y= 67, Z= 241 | caused by Player | ACE
[2024-03-21 12:31:26] [world] The Player <dick_slap> has died with 8 level(s) at X= -770, Y= 63, Z= 257 | caused by Player | ACE
[2024-03-21 12:31:54] [world_the_end] The Player <somebody139> has died with 6 level(s) at X= 100, Y= 49, Z= 0 | caused by Player | WienerDogFace
[2024-03-21 12:32:11] [world_the_end] The Player <somebody139> has died with 6 level(s) at X= 106, Y= -194, Z= 1 | caused by VOID | 
[2024-03-21 12:32:14] [world] The Player <dhar> has died with 5 level(s) at X= -664, Y= 71, Z= 305 | caused by Player | Char
[2024-03-21 12:33:31] [world] The Player <PenguinBoi> has died with 0 level(s) at X= -405, Y= 60, Z= -73 | caused by DROWNING | 
[2024-03-21 12:33:38] [world] The Player <Dave_TheCoolGuy> has died with 6 level(s) at X= -676, Y= 72, Z= 313 | caused by Player | Char
[2024-03-21 12:35:51] [world] The Player <character> has died with 18 level(s) at X= -363, Y= 81, Z= -44 | caused by FALL | 
[2024-03-21 12:36:59] [world] The Player <General_Rihan> has died with 18 level(s) at X= -10143, Y= 38, Z= 4124 | caused by FALL | 
[2024-03-21 12:37:32] [world] The Player <somebody139> has died with 6 level(s) at X= -779, Y= 41, Z= 195 | caused by FALL | 
[2024-03-21 12:38:42] [world] The Player <VeerIsKKK> has died with 26 level(s) at X= 496, Y= 63, Z= 2253 | caused by FALL | 
[2024-03-21 12:39:33] [world] The Player <Tester> has died with 17 level(s) at X= -1541, Y= 69, Z= -122 | caused by Player | Char
[2024-03-21 12:40:29] [world] The Player <Dave_TheCoolGuy> has died with 7 level(s) at X= -654, Y= 32, Z= 315 | caused by Player | Char
[2024-03-21 12:42:02] [world] The Player <PenguinBoi> has died with 5 level(s) at X= -369, Y= 86, Z= -58 | caused by DROWNING | 
[2024-03-21 12:42:09] [world] The Player <hi_> has died with 14 level(s) at X= 1, Y= -177, Z= 1 | caused by VOID | 
[2024-03-21 12:42:13] [world] The Player <General_Rihan> has died with 18 level(s) at X= 1, Y= -180, Z= 1 | caused by VOID | 
[2024-03-21 12:42:45] [world] The Player <somebody139> has died with 6 level(s) at X= -780, Y= 10, Z= 161 | caused by Player | VeerIsKKK
[2024-03-21 12:43:00] [world] The Player <somebody139> has died with 6 level(s) at X= -781, Y= 11, Z= 163 | caused by Player | VeerIsKKK
[2024-03-21 12:43:23] [world] The Player <somebody139> has died with 6 level(s) at X= -780, Y= 11, Z= 190 | caused by Player | VeerIsKKK
