[2024-03-19 22:33:09] [world] The Player <Tester> has died with 18 level(s) at X= -10175, Y= 64, Z= 4125 | caused by Player | Char
[2024-03-19 22:33:51] [world] The Player <Tester> has died with 18 level(s) at X= -10178, Y= 63, Z= 4114 | caused by ENTITY_ATTACK | 
[2024-03-19 22:34:41] [world] The Player <Tester> has died with 18 level(s) at X= -10184, Y= 63, Z= 4110 | caused by FALL | 
[2024-03-19 22:37:47] [world] The Player <Tester> has died with 18 level(s) at X= -10177, Y= 64, Z= 4119 | caused by Player | Char
[2024-03-19 23:34:39] [world] The Player <NezukoChan> has died with 23 level(s) at X= -10196, Y= 62, Z= 4093 | caused by FALL | 
[2024-03-19 23:37:10] [world] The Player <NezukoChan> has died with 23 level(s) at X= -585, Y= 70, Z= 215 | caused by DROWNING | 
[2024-03-19 23:58:14] [world] The Player <Heinrich_Himmler> has died with 20 level(s) at X= -717, Y= 5, Z= 312 | caused by FIRE_TICK | 
[2024-03-20 00:18:02] [world_the_end] The Player <Heinrich_Himmler> has died with 20 level(s) at X= 91, Y= -192, Z= -6 | caused by VOID | 
[2024-03-20 00:20:55] [world_nether] The Player <Heinrich_Himmler> has died with 20 level(s) at X= -36, Y= 29, Z= -38 | caused by LAVA | 
[2024-03-20 00:32:26] [world] The Player <TurtleDuck> has died with 20 level(s) at X= -426, Y= -178, Z= 239 | caused by VOID | 
[2024-03-20 00:33:24] [world] The Player <NezukoChan> has died with 24 level(s) at X= -101, Y= 38, Z= 105 | caused by DROWNING | 
[2024-03-20 00:34:23] [world] The Player <TurtleDuck> has died with 20 level(s) at X= -560, Y= -82, Z= 362 | caused by VOID | 
[2024-03-20 00:35:15] [world] The Player <NezukoChan> has died with 24 level(s) at X= -10171, Y= 62, Z= 4116 | caused by LAVA | 
[2024-03-20 00:37:19] [world_the_end] The Player <TurtleDuck> has died with 20 level(s) at X= -167, Y= -197, Z= 23 | caused by VOID | 
[2024-03-20 00:38:39] [world] The Player <NezukoChan> has died with 24 level(s) at X= -10171, Y= 62, Z= 4116 | caused by LAVA | 
[2024-03-20 00:43:58] [world] The Player <NezukoChan> has died with 23 level(s) at X= -10170, Y= 63, Z= 4114 | caused by FIRE_TICK | 
[2024-03-20 00:49:31] [world] The Player <NezukoChan> has died with 23 level(s) at X= -549, Y= 65, Z= 294 | caused by LAVA | 
[2024-03-20 01:08:16] [world] The Player <NezukoChan> has died with 23 level(s) at X= 1800, Y= 62, Z= 291 | caused by Player | astronomy
[2024-03-20 01:08:37] [world] The Player <astronomy> has died with 8 level(s) at X= 1800, Y= 62, Z= 293 | caused by Player | NezukoChan
[2024-03-20 01:14:08] [world] The Player <NezukoChan> has died with 23 level(s) at X= -605, Y= 68, Z= 389 | caused by Player | astronomy
[2024-03-20 01:14:44] [world] The Player <astronomy> has died with 8 level(s) at X= -651, Y= 70, Z= 406 | caused by Player | NezukoChan
[2024-03-20 01:16:04] [world_nether] The Player <astronomy> has died with 8 level(s) at X= -130, Y= 26, Z= 58 | caused by LAVA | 
[2024-03-20 01:17:43] [world] The Player <astronomy> has died with 8 level(s) at X= -690, Y= 67, Z= 463 | caused by Player | NezukoChan
[2024-03-20 01:22:03] [world] The Player <NezukoChan> has died with 23 level(s) at X= 1803, Y= 37, Z= 288 | caused by Player | astronomy
[2024-03-20 01:27:26] [world] The Player <NezukoChan> has died with 3 level(s) at X= 1801, Y= 39, Z= 289 | caused by Player | astronomy
[2024-03-20 01:27:31] [world] The Player <astronomy> has died with 8 level(s) at X= 1803, Y= 38, Z= 288 | caused by Player | NezukoChan
[2024-03-20 01:41:32] [world_the_end] The Player <hexa> has died with 5 level(s) at X= 49, Y= -107, Z= 21 | caused by VOID | 
[2024-03-20 01:43:28] [world_the_end] The Player <hexa> has died with 6 level(s) at X= 50, Y= 62, Z= 27 | caused by ENTITY_ATTACK | 
[2024-03-20 02:01:40] [world] The Player <astronomy> has died with 11 level(s) at X= -171, Y= 57, Z= 121 | caused by SUFFOCATION | 
[2024-03-20 02:20:57] [world] The Player <astronomy> has died with 11 level(s) at X= 1806, Y= 37, Z= 289 | caused by LAVA | 
[2024-03-20 02:21:16] [world] The Player <astronomy> has died with 11 level(s) at X= 1799, Y= 38, Z= 290 | caused by FIRE_TICK | 
[2024-03-20 12:21:04] [world] The Player <Tester> has died with 21 level(s) at X= -2807, Y= 10, Z= 624 | caused by LAVA | 
[2024-03-20 12:21:16] [world] The Player <Tester> has died with 21 level(s) at X= -2807, Y= 10, Z= 623 | caused by LAVA | 
[2024-03-20 12:27:59] [world] The Player <NezukoChan> has died with 3 level(s) at X= 1806, Y= 37, Z= 289 | caused by LAVA | 
[2024-03-20 12:30:14] [world] The Player <Tester> has died with 21 level(s) at X= -2855, Y= 10, Z= 564 | caused by FIRE_TICK | 
[2024-03-20 12:43:30] [world_the_end] The Player <hexa> has died with 11 level(s) at X= -168, Y= -194, Z= 39 | caused by VOID | 
