[2024-03-18 14:39:36] [world] The Player <sharky> has died with 6 level(s) at X= -603, Y= 58, Z= 382 | caused by FALL | 
[2024-03-18 14:43:54] [world] The Player <qweqazz> has died with 1 level(s) at X= -604, Y= 68, Z= 328 | caused by Player | VeerIsKKK
[2024-03-18 15:10:24] [world_the_end] The Player <hexa> has died with 0 level(s) at X= 99, Y= 33, Z= -2 | caused by FALL | 
[2024-03-18 15:10:57] [world_nether] The Player <qwerty> has died with 31 level(s) at X= -141, Y= 29, Z= -96 | caused by LAVA | 
[2024-03-18 15:11:26] [world_the_end] The Player <qwerty> has died with 31 level(s) at X= 100, Y= -192, Z= -6 | caused by VOID | 
[2024-03-18 15:15:53] [world_nether] The Player <qwerty> has died with 32 level(s) at X= -34, Y= 28, Z= 143 | caused by FALL | 
[2024-03-18 15:21:43] [world] The Player <qwerty> has died with 32 level(s) at X= -683, Y= 45, Z= 224 | caused by FALL | 
[2024-03-18 15:22:19] [world] The Player <sharky> has died with 6 level(s) at X= -501, Y= 8, Z= -441 | caused by FIRE_TICK | 
[2024-03-18 15:31:46] [world] The Player <Rip_Dogwater> has died with 75 level(s) at X= -681, Y= 2, Z= 296 | caused by LAVA | 
[2024-03-18 15:43:38] [world] The Player <Tester> has died with 17 level(s) at X= -9458, Y= 79, Z= 3875 | caused by FALL | 
[2024-03-18 15:43:40] [world] The Player <Uwupapa> has died with 1 level(s) at X= -602, Y= 68, Z= 305 | caused by FALL | 
[2024-03-18 15:57:04] [world] The Player <hexa> has died with 1 level(s) at X= -706, Y= 65, Z= 250 | caused by Player | NezukoChan
[2024-03-18 16:02:36] [world] The Player <hexa> has died with 4 level(s) at X= -1492, Y= 70, Z= 251 | caused by SUFFOCATION | 
[2024-03-18 16:03:20] [world] The Player <hexa> has died with 4 level(s) at X= -1492, Y= 71, Z= 249 | caused by SUFFOCATION | 
[2024-03-18 16:07:49] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -169, Y= 57, Z= 39 | caused by FALL | 
[2024-03-18 16:08:16] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 99, Y= -92, Z= 13 | caused by VOID | 
[2024-03-18 16:08:55] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -67, Y= 29, Z= 28 | caused by LAVA | 
[2024-03-18 16:10:04] [world] The Player <Rip_WillOfTheD> has died with 30 level(s) at X= 496, Y= 81, Z= 2241 | caused by ENTITY_EXPLOSION | 
[2024-03-18 16:10:54] [world] The Player <Rip_WillOfTheD> has died with 30 level(s) at X= -587, Y= 68, Z= 312 | caused by Player | NezukoChan
[2024-03-18 19:53:19] [world] The Player <Gakzilla> has died with 9 level(s) at X= -597, Y= 68, Z= 337 | caused by FALL | 
[2024-03-18 20:47:55] [world] The Player <NezukoChan> has died with 24 level(s) at X= -10189, Y= 63, Z= 4090 | caused by FALL | 
[2024-03-18 20:50:19] [world] The Player <NezukoChan> has died with 24 level(s) at X= -10173, Y= 64, Z= 4118 | caused by VOID | 
[2024-03-18 20:51:11] [world] The Player <NezukoChan> has died with 24 level(s) at X= -10173, Y= 63, Z= 4111 | caused by FALL | 
[2024-03-18 20:53:50] [world] The Player <NezukoChan> has died with 24 level(s) at X= -10180, Y= 63, Z= 4103 | caused by FALL | 
[2024-03-18 21:10:02] [world] The Player <character> has died with 20 level(s) at X= -742, Y= 34, Z= 173 | caused by LAVA | 
[2024-03-18 21:27:35] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -80, Y= 56, Z= 75 | caused by FALL | 
[2024-03-18 21:29:23] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 34, Y= -155, Z= 93 | caused by VOID | 
[2024-03-18 21:55:33] [world] The Player <character> has died with 22 level(s) at X= -746, Y= 30, Z= 161 | caused by FALL | 
[2024-03-18 22:58:40] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 7, Y= 58, Z= -67 | caused by ENTITY_ATTACK | 
