[2024-03-22 16:00:54] [world] The Player <Brycethelegend> has died with 12 level(s) at X= -1372, Y= 13, Z= -247 | caused by FALL | 
[2024-03-22 16:01:10] [world_the_end] The Player <qwerty> has died with 14 level(s) at X= 44, Y= -142, Z= 152 | caused by VOID | 
[2024-03-22 16:01:12] [world_the_end] The Player <hi_> has died with 19 level(s) at X= 39, Y= -191, Z= 189 | caused by VOID | 
[2024-03-22 16:05:56] [world_nether] The Player <Brycethelegend> has died with 12 level(s) at X= -95, Y= 35, Z= 48 | caused by FALL | 
[2024-03-22 16:09:21] [world_nether] The Player <NezukoChan> has died with 18 level(s) at X= -1280, Y= 30, Z= 593 | caused by LAVA | 
[2024-03-22 16:09:38] [world_nether] The Player <NezukoChan> has died with 18 level(s) at X= -1280, Y= 29, Z= 593 | caused by LAVA | 
[2024-03-22 16:10:46] [world] The Player <Pog4lifepeople> has died with 20 level(s) at X= -551, Y= 65, Z= 308 | caused by FIRE_TICK | 
[2024-03-22 16:11:23] [world] The Player <qwerty> has died with 14 level(s) at X= -799, Y= 4, Z= -727 | caused by FIRE_TICK | 
[2024-03-22 16:13:12] [world] The Player <astronomy> has died with 11 level(s) at X= 1804, Y= 46, Z= 280 | caused by Player | NezukoChan
[2024-03-22 16:17:02] [world] The Player <astronomy> has died with 11 level(s) at X= 1802, Y= 38, Z= 289 | caused by ENTITY_ATTACK | 
[2024-03-22 16:18:27] [world] The Player <astronomy> has died with 11 level(s) at X= 1803, Y= 38, Z= 289 | caused by ENTITY_ATTACK | 
[2024-03-22 16:18:52] [world] The Player <astronomy> has died with 11 level(s) at X= 1799, Y= 39, Z= 291 | caused by ENTITY_ATTACK | 
[2024-03-22 16:27:46] [world] The Player <Pog4lifepeople> has died with 21 level(s) at X= 1000567, Y= 66, Z= 1000286 | caused by ENTITY_ATTACK | 
[2024-03-22 16:28:07] [world] The Player <Pog4lifepeople> has died with 21 level(s) at X= 1000555, Y= 64, Z= 1000293 | caused by ENTITY_ATTACK | 
[2024-03-22 16:35:42] [world] The Player <hexa> has died with 20 level(s) at X= 1000060, Y= 13, Z= 999989 | caused by LAVA | 
[2024-03-22 16:38:22] [world] The Player <SPADE> has died with 2 level(s) at X= -574, Y= 69, Z= 313 | caused by Player | hexa
[2024-03-22 16:38:23] [world] The Player <Mudkips_Rule> has died with 30 level(s) at X= -572, Y= 69, Z= 316 | caused by VOID | 
[2024-03-22 16:38:23] [world] The Player <A_Random_Person> has died with 39 level(s) at X= -573, Y= 69, Z= 314 | caused by VOID | 
[2024-03-22 16:38:23] [world] The Player <hexa> has died with 20 level(s) at X= -573, Y= 69, Z= 313 | caused by VOID | 
[2024-03-22 16:38:23] [world] The Player <digbick> has died with 21 level(s) at X= -576, Y= 69, Z= 318 | caused by VOID | 
[2024-03-22 16:38:23] [world] The Player <I_am_amazing> has died with 12265 level(s) at X= -576, Y= 69, Z= 309 | caused by VOID | 
[2024-03-22 16:38:23] [world_the_end] The Player <Pog4lifepeople> has died with 21 level(s) at X= -576, Y= -105, Z= 312 | caused by VOID | 
[2024-03-22 16:38:33] [world] The Player <digbick> has died with 21 level(s) at X= -574, Y= 69, Z= 319 | caused by Player | hexa
[2024-03-22 16:38:35] [world] The Player <SPADE> has died with 2 level(s) at X= -573, Y= 69, Z= 320 | caused by Player | hexa
[2024-03-22 16:38:42] [world] The Player <Pog4lifepeople> has died with 21 level(s) at X= -574, Y= 66, Z= 297 | caused by FIRE_TICK | 
[2024-03-22 16:38:43] [world] The Player <digbick> has died with 21 level(s) at X= -580, Y= 69, Z= 336 | caused by FIRE_TICK | 
[2024-03-22 16:38:51] [world] The Player <Pog4lifepeople> has died with 21 level(s) at X= -570, Y= 69, Z= 319 | caused by Player | hexa
[2024-03-22 16:39:08] [world] The Player <Pog4lifepeople> has died with 21 level(s) at X= -577, Y= 69, Z= 346 | caused by Player | hexa
[2024-03-22 16:40:25] [world_the_end] The Player <digbick> has died with 21 level(s) at X= 61, Y= 34, Z= -21 | caused by FALL | 
[2024-03-22 16:42:36] [world] The Player <SPADE> has died with 3 level(s) at X= -646, Y= 50, Z= -778 | caused by FALL | 
[2024-03-22 16:54:28] [world] The Player <Rip_WillOfTheD> has died with 30 level(s) at X= 514, Y= 80, Z= 2253 | caused by FALL | 
[2024-03-22 16:55:05] [world] The Player <SPADE> has died with 3 level(s) at X= -649, Y= 61, Z= -788 | caused by Player | Tester
[2024-03-22 16:55:10] [world_nether] The Player <qwerty> has died with 15 level(s) at X= -141, Y= 30, Z= -96 | caused by LAVA | 
[2024-03-22 16:56:05] [world_nether] The Player <Tester> has died with 27 level(s) at X= -98, Y= 78, Z= -32 | caused by LAVA | 
[2024-03-22 17:02:56] [world_nether] The Player <qwerty> has died with 15 level(s) at X= -36, Y= 31, Z= -16 | caused by LAVA | 
[2024-03-22 17:04:06] [world] The Player <Rip_WillOfTheD> has died with 30 level(s) at X= 503, Y= 92, Z= 2251 | caused by Player | VeerIsKKK
[2024-03-22 17:05:40] [world] The Player <Rip_WillOfTheD> has died with 30 level(s) at X= 510, Y= 104, Z= 2250 | caused by Player | VeerIsKKK
[2024-03-22 17:06:55] [world_the_end] The Player <qwerty> has died with 15 level(s) at X= -1, Y= -186, Z= -46 | caused by VOID | 
[2024-03-22 17:08:47] [world] The Player <Rip_WillOfTheD> has died with 30 level(s) at X= -571, Y= 69, Z= 315 | caused by Player | VeerIsKKK
[2024-03-22 17:09:22] [world_the_end] The Player <qwerty> has died with 15 level(s) at X= 87, Y= -124, Z= 63 | caused by VOID | 
[2024-03-22 17:09:35] [world_the_end] The Player <qwerty> has died with 15 level(s) at X= 87, Y= -172, Z= 63 | caused by VOID | 
[2024-03-22 17:11:46] [world] The Player <VeerIsKKK> has died with 26 level(s) at X= 513, Y= 104, Z= 2246 | caused by Player | I_am_amazing
[2024-03-22 17:12:46] [world] The Player <Tester> has died with 28 level(s) at X= 501, Y= 86, Z= 2250 | caused by Player | VeerIsKKK
[2024-03-22 17:13:00] [world] The Player <Pog4lifepeople> has died with 21 level(s) at X= -585, Y= 65, Z= 202 | caused by FALL | 
[2024-03-22 17:14:25] [world] The Player <stealthassasin32> has died with 2 level(s) at X= -536, Y= 73, Z= 223 | caused by ENTITY_ATTACK | 
